Date,Type,Value,Limit
2018-08-29,VAR,2699.9954799999896,2500.0
2018-08-30,VAR,2699.9954799999896,2500.0
2018-08-31,VAR,2699.9954799999896,2500.0
2018-09-04,VAR,2699.9954799999896,2500.0
2018-09-05,VAR,2699.9954799999896,2500.0
2018-09-06,VAR,2699.9954799999896,2500.0
2018-09-07,VAR,2699.9954799999896,2500.0
2018-09-10,VAR,2699.9954799999896,2500.0
2018-09-11,VAR,2699.9954799999896,2500.0
2018-09-12,VAR,2699.9954799999896,2500.0
2018-09-13,VAR,2699.9954799999896,2500.0
2018-09-14,VAR,2699.9954799999896,2500.0
2018-09-17,VAR,2699.9954799999896,2500.0
2018-09-18,VAR,2699.9954799999896,2500.0
2018-09-19,VAR,2699.9954799999896,2500.0
2018-09-20,VAR,2699.9954799999896,2500.0
2018-09-21,VAR,2699.9954799999896,2500.0
2018-09-24,VAR,2699.9954799999896,2500.0
2018-09-25,VAR,2699.9954799999896,2500.0
2018-09-26,VAR,2699.9954799999896,2500.0
2018-09-27,VAR,2699.9954799999896,2500.0
2018-09-28,VAR,2699.9954799999896,2500.0
2018-10-01,VAR,2699.9954799999896,2500.0
2018-10-02,VAR,2699.9954799999896,2500.0
2018-10-03,VAR,2699.9954799999896,2500.0
2018-10-04,VAR,2699.9954799999896,2500.0
2018-10-05,VAR,2699.9954799999896,2500.0
2018-10-08,VAR,2699.9954799999896,2500.0
2018-10-09,VAR,2699.9954799999896,2500.0
2018-10-10,VAR,3282.643369999999,2500.0
2018-10-11,VAR,3282.643369999999,2500.0
2018-10-12,VAR,3282.643369999999,2500.0
2018-10-15,VAR,3282.643369999999,2500.0
2018-10-16,VAR,3282.643369999999,2500.0
2018-10-17,VAR,3282.643369999999,2500.0
2018-10-18,VAR,3282.643369999999,2500.0
2018-10-19,VAR,3282.643369999999,2500.0
2018-10-22,VAR,3282.643369999999,2500.0
2018-10-23,VAR,3282.643369999999,2500.0
2018-10-24,VAR,3544.8825500000003,2500.0
2018-10-25,VAR,3544.8825500000003,2500.0
2018-10-26,VAR,3544.8825500000003,2500.0
2018-10-29,VAR,3544.8825500000003,2500.0
2018-10-30,VAR,3544.8825500000003,2500.0
2018-10-31,VAR,3544.8825500000003,2500.0
2018-11-01,VAR,3544.8825500000003,2500.0
2018-11-02,VAR,3544.8825500000003,2500.0
2018-11-05,VAR,3544.8825500000003,2500.0
2018-11-06,VAR,3544.8825500000003,2500.0
2018-11-07,VAR,3544.8825500000003,2500.0
2018-11-08,VAR,3544.8825500000003,2500.0
2018-11-09,VAR,3544.8825500000003,2500.0
2018-11-12,VAR,3544.8825500000003,2500.0
2018-11-13,VAR,3544.8825500000003,2500.0
2018-11-14,VAR,3544.8825500000003,2500.0
2018-11-15,VAR,3544.8825500000003,2500.0
2018-11-16,VAR,3544.8825500000003,2500.0
2018-11-19,VAR,3544.8825500000003,2500.0
2018-11-20,VAR,3544.8825500000003,2500.0
2018-11-21,VAR,3544.8825500000003,2500.0
2018-11-23,VAR,3544.8825500000003,2500.0
2018-11-26,VAR,3544.8825500000003,2500.0
2018-11-27,VAR,3544.8825500000003,2500.0
2018-11-28,VAR,3544.8825500000003,2500.0
2018-11-29,VAR,3544.8825500000003,2500.0
2018-11-30,VAR,3544.8825500000003,2500.0
2018-12-03,VAR,3544.8825500000003,2500.0
2018-12-04,VAR,3544.8825500000003,2500.0
2018-12-06,VAR,3544.8825500000003,2500.0
2018-12-07,VAR,3544.8825500000003,2500.0
2018-12-10,VAR,3544.8825500000003,2500.0
2018-12-11,VAR,3544.8825500000003,2500.0
2018-12-12,VAR,3544.8825500000003,2500.0
2018-12-13,VAR,3544.8825500000003,2500.0
2018-12-14,VAR,3544.8825500000003,2500.0
2018-12-17,VAR,3544.8825500000003,2500.0
2018-12-18,VAR,3544.8825500000003,2500.0
2018-12-19,VAR,3544.8825500000003,2500.0
2018-12-20,VAR,3544.8825500000003,2500.0
2018-12-21,VAR,3544.8825500000003,2500.0
2018-12-24,VAR,3544.8825500000003,2500.0
2018-12-26,VAR,3544.8825500000003,2500.0
2018-12-27,VAR,3544.8825500000003,2500.0
2018-12-28,VAR,3544.8825500000003,2500.0
2018-12-31,VAR,3544.8825500000003,2500.0
2019-01-02,VAR,3544.8825500000003,2500.0
2019-01-03,VAR,3544.8825500000003,2500.0
2019-01-04,VAR,3544.8825500000003,2500.0
2019-01-07,VAR,3544.8825500000003,2500.0
2019-01-08,VAR,3544.8825500000003,2500.0
2019-01-09,VAR,3544.8825500000003,2500.0
2019-01-10,VAR,3544.8825500000003,2500.0
2019-01-11,VAR,3544.8825500000003,2500.0
2019-01-14,VAR,3544.8825500000003,2500.0
2019-01-15,VAR,3544.8825500000003,2500.0
2019-01-16,VAR,3544.8825500000003,2500.0
2019-01-17,VAR,3544.8825500000003,2500.0
2019-01-18,VAR,3544.8825500000003,2500.0
2019-01-22,VAR,3544.8825500000003,2500.0
2019-01-23,VAR,3544.8825500000003,2500.0
2019-01-24,VAR,3544.8825500000003,2500.0
2019-01-25,VAR,3544.8825500000003,2500.0
2019-01-28,VAR,3544.8825500000003,2500.0
2019-01-29,VAR,3544.8825500000003,2500.0
2019-01-30,VAR,3544.8825500000003,2500.0
2019-01-31,VAR,3544.8825500000003,2500.0
2019-02-01,VAR,3544.8825500000003,2500.0
2019-02-04,VAR,3108.98581999999,2500.0
2019-02-05,VAR,3108.98581999999,2500.0
2019-02-06,VAR,3108.98581999999,2500.0
